"Id","Title","Body","Tags"
  end
end
</code></pre>
","ruby rspec"
"771","Online store - where to get product imaginery?","<p>Currently building (alpha version currently) a online Electronics store.</p>

<p>I've been doing a lot of research doing the last few months (as I was building the app) on how and where from to get product images for the products that I will be sold online.</p>

<p>I haven't came to any reasonable conclusion - the only option that surfaced during these months was to get the images directly from the manufactures.</p>

<p>My question: is there a reliable source that aggregates most of the Electronic products and their images? Think a stock photo website but for product images.</p>

<p>The site will cater to a small audience so getting images directly from the manufacturers I don't think is an option, as I won't even be a blimp on their radar.</p>
","web-applications e-commerce products"
"772","Mac OS X and Spaces, assign to keys","<p>Is it possible to assign the 4 or 9 spaces to some key combinations? Also that they do not interfere with another combinations?</p>
","osx mac keymap spaces"
"773","Unable to get ImageMagick .Net working with Asp.Net 4.0","<p>I have downloaded the <strong>ImageMagick.Net</strong> source code from <strong>Codeplex</strong> and compiled using Visual Studio 2010. It builds but when I use the generated <strong>ImageMagickNET.dll</strong> into my Asp.Net 4.0 application I get the following error.</p>

<pre><code>External component has thrown an exception. 
Description: An unhandled exception occurred during the execution of the current web request. Please review the stack trace for more information about the error and where it originated in the code. 

Exception Details: System.Runtime.InteropServices.SEHException: External component has thrown an exception.

Source Error: 

Line 1049:     void Image::Read(System::String^ imageSpec)
Line 1050:     {
Line 1051:             image-&gt;read(Marshaller::SystemStringToStdString(imageSpec));
Line 1052:     }
Line 1053:

Source File: d:\dev\projects\imagemagick-63489\imagemagick.net\imagemagicknet\image.cpp    Line: 1051 

Stack Trace: 

[SEHException (0x80004005): External component has thrown an exception.]
   Magick.Image.read(Image* , basic_string&lt;char\,std::char_traits&lt;char&gt;\,std::allocator&lt;char&gt; &gt;* ) +0
   ImageMagickNET.Image.Read(String imageSpec_) in d:\dev\projects\imagemagick-63489\imagemagick.net\imagemagicknet\image.cpp:1051
   ImageMagickTest._Default.Page_Load(Object sender, EventArgs e) in D:\Sites\ImageMagickTest\ImageMagickTest\Default.aspx.cs:22
   System.Web.Util.CalliHelper.EventArgFunctionCaller(IntPtr fp, Object o, Object t, EventArgs e) +14
   System.Web.Util.CalliEventHandlerDelegateProxy.Callback(Object sender, EventArgs e) +35
   System.Web.UI.Control.OnLoad(EventArgs e) +91
   System.Web.UI.Control.LoadRecursive() +74
   System.Web.UI.Page.ProcessRequestMain(Boolean includeStagesBeforeAsyncPoint, Boolean includeStagesAfterAsyncPoint) +2207
</code></pre>

<p>Has anyone got ImagMagick.Net working by compiling from the source code?</p>
","image-processing c++-cli image-manipulation imagemagick"
"774","gcc/clang -F option -- what does it mean?","<p>I am trying to debug an annoying pathing issue -- details <a href=""http://stackoverflow.com/questions/13302923/why-might-xcode-decide-not-to-search-headers-recursively-despite-a-build-setting"">here</a>.  I notice that when I compare build logs for the ""good"" and ""bad"" versions, the I have different values for the -F path.  What does this path do/mean?  And what Xcode setting controls it?</p>

<p>For reference, here are the two paths:</p>

<pre><code>-F/Users/william/Library/Developer/Xcode/DerivedData/AppName-davbizcqpdxtcvfdfylgsgaueqwn/Build/Products/Debug-iphonesimulator
</code></pre>

<p>and</p>

<pre><code>-F/Users/william/Documents/AppName
</code></pre>
","xcode gcc clang"
"775","javascript document.cookie missing some pairs","<p>My script set up ten cookies and the browser successfully saved them, but <code>document.cookie</code> only retrieves nine pairs, the missing pair is as follow:</p>

<pre><code>auth:4ae9Mq1j6tjt7dV6kV6A0piHB6NnNjijBmecax9mA8cfDpSs6pnAcD7H1%2FUqWMIIB%2BbgtKIJ2w1L2GnXkgV2
</code></pre>

<p>What happened? Is there a character limit in <code>document.cookie</code>? The cookie domain is the same as all the others.</p>
","javascript cookies"
"776","Sorting data based on the value in second column of a file","<p>I have a file of two columns and n number of rows.</p>

<p>column 1 contains names and column2 age.</p>

<p>I want to sort the content of this file in ascending order based on the age (in second column).</p>

<p>The result should display the name of the youngest person along with name and then second youngest person and so on...</p>

<p>Any suggestions for a one liner shell or bash script.</p>
","bash shell unix"
"777","Target final <div> in a set of <div>s using CSS","<p>I have the following code:</p>

<pre><code>&lt;div class=""sidebar""&gt;1&lt;/div&gt;

&lt;div class=""sidebar""&gt;2&lt;/div&gt;

&lt;div class=""sidebar""&gt;3&lt;/div&gt;
</code></pre>

<p>How do I use CSS to target the last <strong>div</strong> element? I'd like to change the styling if possible.</p>

<pre><code>&lt;div class=""sidebar""&gt;3&lt;/div&gt;
</code></pre>

<p>Sadly, I don't have access to the HTML generated, so is this even possible?</p>
","html css css-selectors stylesheet last-child"
"778","What is the Python equivalent of PHP's set_time_limit()?","<p>I have a python script which is freezing (I think it stalls waiting for socket data somewhere), but I am having trouble getting a backtrace because the only way to stop it is to kill the process in. There is a timeout on the socket also, but it doesn't seem to work.</p>

<p>I am hoping that Python has a feature like PHP's <a href=""http://www.php.net/set_time_limit"" rel=""nofollow"">set_time_limit()</a> function which can stop the script and give me a useful backtrace, perhaps showing a <code>sock.recv()</code> call which is frozen, or an endless loop somewhere.</p>
","php python"
"779","Is there a general method to determine if a laptop can support 2x external monitors?","<p><strong>Question:</strong>  Is there a general method, which would let me determine if a laptop can support 2x external monitors?</p>

<p><strong>Context:</strong>  I’m shopping for a laptop, which would support my 2 main modes of operation.</p>

<ol>
<li><p>In <strong>desk mode</strong>, I do many hours of design work with OrCAD, Altium, SolidWorks, Visio; also write code in Visual Studio and Eclipse.  For that, I’d like to have 2x large external monitors.  If needed, monitors can be connected through dock station.  If it's possible to choose between portrait and landscape orientation of monitors, that would be a bonus.</p></li>
<li><p>In <strong>field mode</strong>, I still need to run CAD packages, but only to look-up and tweak things occasionally.  Field mode happens in vanilla indoor environments, so ruggedness and ingress protection are not needed.  It would be nice if the laptop had a small footprint, like a 13” laptop perhaps.  At the same time, weight and thickness of the laptop are not a problem for me.</p></li>
</ol>

<p>Of course, I also wonder if this is realistic at all.<br>
<strong>Update:</strong>  I'm checking looking into <a href=""http://www.matrox.com/graphics/en/products/gxm/dh2go"" rel=""nofollow"">Maxtor DualHead2Go</a>, which was suggested in several other threads.</p>

<p><strong>Update:</strong>  Found something curious.  The hp 120W Advanced Docking Station has 2x DisplayPorts (<a href=""http://h18000.www1.hp.com/products/quickspecs/13449_na/13449_na.HTML#HP%20120W%20and%20230W%20Advanced%20Docking%20Stations"" rel=""nofollow"">source</a>).</p>

<p><img src=""http://i.stack.imgur.com/M46Mg.jpg"" alt=""enter image description here""></p>

<p>Item 11 on the drawing.  Sounds like there ought to be an hp laptop, which would do 2x external monies.  Could these DisplayPorts be daisy chained inside docking station?</p>

<p><strong>Update:</strong> Lenovo Mini Dock Plus also has 2x DisplayPort</p>

<p><img src=""http://i.stack.imgur.com/KQzC0.jpg"" alt=""enter image description here""></p>

<p>Lenovo had also put together a <a href=""http://support.lenovo.com/en_US/detail.page?LegacyDocID=MIGR-76617"" rel=""nofollow"">brief on multiple monitor setups</a> (<a href=""http://support.lenovo.com/en_US/detail.page?LegacyDocID=MIGR-76617"" rel=""nofollow"">PDF version</a>).</p>

<p>Any suggestion, insight or reference is really appreciated!</p>
","laptop multiple-monitors docking-station cad"
"780","How to crop image on django admin side ?","<p>I want to add a feature for image cropping in django admin site. I have no idea about that how could I approach this to get it done. I have used django-image-cropping application, but not able to integrate this for admin side. </p>

<p>Please help me ASAP.</p>
","django image cropping"
"781","Order in conditional statements","<blockquote>
  <p><strong>Possible Duplicate:</strong><br>
  <a href=""http://stackoverflow.com/questions/9438043/php-false-place-in-condition"">php false place in condition</a>  </p>
</blockquote>



<p>I have noticed that a lot of PHP code uses conditional statements like CONST == VARIABLE. I grew up with the syntax always articulated in reverse. Is there a reason for this structure? </p>

<p>Example:</p>

<pre><code> // this is the way I see it most typically represented in PHP
 if ( false == $foobar ) { // do this }

 // this is the way I normally do it
 if ( $foobar == false ) { // do this }
</code></pre>
","php"
"782","java.util.UUID.fromString not checking length","<p>When I looked into the implementation of <code>java.util.UUID.fromString</code>, I found that it doesn't check for the UUID length. Is there any particular reason for this? It only checks the components separated by ""-"".</p>

<pre><code>String[] components = name.split(""-"");
        if (components.length != 5)
            throw new IllegalArgumentException(""Invalid UUID string: ""+name);
</code></pre>

<p>Should it also throw IllegalArgumentException when length is not 36?</p>

<p>Currently, without the length checking, numbers are automatically prepended with 0's if less than the component length or shifted if more. The downside is, if one entered a UUID string with a missing digit, it is accepted as valid and prepended with 0. This is hard to debug.</p>

<p>For example, this ""12345678-1234-1234-1234-123456789ab"" becomes ""12345678-1234-1234-1234-0123456789ab"". Notice the '0' added? And this ""12345678-1234-1234-1234-123456789abcd"" becomes ""12345678-1234-1234-1234-23456789abcd"" with the '1' removed.</p>

<p>To push this even further, the string ""1-2-3-4-5"" will also be treated as valid and becomes ""00000001-0002-0003-0004-000000000005"".</p>

<p>Edit: To clarify my question, is this a bug or done on purpose to follow some standard or principle?</p>
","java"
"783","What needs to be considered when invoke threads inside a thread in Java or It should be avoided?","<p>I am trying to use multithread, a thread pool in fact, for a large group of concurrent tasks. Unfortunately, the tool need to be used by the thread is also implemented by using thread and it is provided by third party. Is it safe to use thread inside thread? What should be considered or should it just be avoided totally.</p>
","java multithreading"
"784","Negative margin-top css issue in IE9","<p>I have an issue in IE9 with CSS. The problem lies on several pages such as:</p>

<p><a href=""http://viveirosalianca.w20labs.com/servicos"" rel=""nofollow"">http://viveirosalianca.w20labs.com/servicos</a></p>

<p>But curiously on the login page is ok:</p>

<p><a href=""http://viveirosalianca.w20labs.com/login"" rel=""nofollow"">http://viveirosalianca.w20labs.com/login</a></p>

<p>I built this from scratch ing Codeigniter and the famous Eric Meyer CSS reset. How can I get that negative <code>margin-top</code> to work on IE? Chrome, Firefox, Safari and Opera are fine.</p>
","css internet-explorer-9 negative-margin"
"785","print address of virtual member function","<p>I am trying to print the address of a virtual member function.
If I only wants to print the address of the function I can write:</p>

<pre><code>print(""address: %p"", &amp;A::func);
</code></pre>

<p>But I want to do something like this:</p>

<pre><code>A *b = new B();

printf(""address: %p"", &amp;b-&gt;func); 
printf(""address: %p"", &amp;b-&gt;A::func);
</code></pre>

<p>however this does not compile, is it possible to do something like this even do 
looking up the address in the vtable is done in runtime?</p>
","c++ virtual vtable"
"786","connect event with links : DoJo 1.4","<p>I have around 30-50 links that are generated dynamically, I want to attach an onClick event to all those links, can I do that using </p>

<pre><code>dojo.connect(dojo.query("".classname""), ""onclick"", function(event){

          // processing logic

     });
</code></pre>

<p>if not what would be the best way to do it?</p>
","events dojo"
"787","Guard code after switch on enum is never reached","<p>I have just hit a confusing problem when trying to compile some code using g++ 4.4.3.</p>

<p>The code below compiles fine, but instead of hitting the expected assert when I pass an 'invalid' enum value, the function just returns 1. What I find even stranger is that when I uncomment the lines pertaining to the E3 enum value, things start working as expected.</p>

<p>The fact that there is no default entry in the switch block is by design. We compile with the -Wall option to get warnings of unhandled enum values.</p>

<pre><code>enum MyEnum
{
    E1,
    E2, 
    //E3
};

int doSomethingWithEnum(MyEnum myEnum)
{
    switch (myEnum)
    {
        case E1: return 1;
        case E2: return 2;
        //case E3: return 3;
    }

    assert(!""Should never get here"");
    return -1;
}

int main(int argc, char **argv)
{
    // Should trigger assert, but actually returns 1
    int retVal =  doSomethingWithEnum(static_cast&lt;MyEnum&gt;(4));
    std::cout &lt;&lt; ""RetVal="" &lt;&lt; retVal &lt;&lt; std::endl;

    return 0;
}
</code></pre>
","c++"
"788","Android / XMPP: presence listener ignores/drops UNAVAILABLE presences","<p>I'm trying to establish a simple xmpp group chat on Android using the smack/asmack xmpp library. And basically everything is working, except: UNAVAILABLE presences, i.e., when a user leaves a chat room, seem to be ignored. Presences from users entering the group chat are fine.</p>

<p>Both my local Openfire server as well as a xmpp client (Instantbird) tell me that there is a UNAVAILABLE presence when user leaves. Only my stuff has troubles.</p>

<p>Here's the main snippet of my code. In short, when a user (re-)enters the room I see the console output (""presenceListener.processPacket""), when a user leaves nothing happens.</p>

<pre><code>public boolean join(String room, user) {

    this.chat = new MultiUserChat(this.xmppConn, room);

    this.presenceListener = new PacketListener() {
        @Override
        public void processPacket(Packet packet) {
            System.out.println(""presenceListener.processPacket"");
            if (packet instanceof Presence)
                // Handle presence
        }
    };
    this.chat.addParticipantListener(this.presenceListener);

    this.messageListener = ...
    this.chat.addMessageListener(this.messageListener);
    ...
    try {
        this.chat.join(user);
        ...
    } catch (...) {
        ...
    }
}
</code></pre>

<p>I would understand when the listener would pick up nothing. But this is too weird for me at the moment. I'm happy about any hint...thanks!</p>

<p>Christian</p>
","android xmpp chat smack asmack"
"789","how to do php 4 dimension array sorting","<p>Cassandra Json format looks like this</p>

<pre><code>    ""recommendResult"":[{
       ""mediaId"":"""",
       ""mediaEntry"":[{
           ""user1"":{
               ""name"":""sooin"",
               ""rating"":""3"",
               ""views"":""2"",
               ""like"":""ture"",
               ""comment"":""good""
           },
           ""user2"":{
               ""name"":""sara"",
               ""rating"":""1"",
               ""views"":""4"",
               ""like"":""ture"",
               ""comment"":""good!""
           }
       }],
       ""view"":""4"",
       ""rating"":""4"",
       ""like"":""10"",
       ""smallUrl"":""/photo/smallUrl"",
       ""largeUrl"":""/photo/largeUrl"",      
       ""title"":""aaaa""                  
    }]
</code></pre>

<p>Here is my php code</p>

<pre><code>$rows=$column_family-&gt;get_range();
$count=0;

    foreach($rows as $key =&gt; $columns) {

     $returnkey[$count]=array('mediaId'=&gt;$key,   
              'columns'=&gt;$columns,'user'=&gt;array_slice($columns,1,2));
     $count++;
}
natcasesort($returnArray['key']['comment']['photoInfo']['view']);
print_r($returnArray['key']['comment']['photoInfo']['view']);
</code></pre>

<p>I am trying to sort based on views.
i try to use natcasesort but it does not work.
Any thought for that.
Thank you.</p>
","php"
"790","Difference between sqrt and sqrtf","<p>I want to consider to code. First it is:</p>

<pre><code>#include &lt;iostream&gt;
#include &lt;cmath&gt;
#include &lt;math.h&gt;
using namespace std;
int main() {
    int s = 25;
    cout &lt;&lt; sqrt(s) &lt;&lt; endl;
    return 0;
}
</code></pre>

<p>It gave me this mistake:</p>

<pre><code>&gt;c:\users\datuashvili\documents\visual studio 2010\projects\training\training\training.cpp(9): error C2668: 'sqrt' : ambiguous call to overloaded function
1&gt;          c:\program files\microsoft visual studio 10.0\vc\include\math.h(589): could be 'long double sqrt(long double)'
1&gt;          c:\program files\microsoft visual studio 10.0\vc\include\math.h(541): or       'float sqrt(float)'
1&gt;          c:\program files\microsoft visual studio 10.0\vc\include\math.h(127): or       'double sqrt(double)'
1&gt;          while trying to match the argument list '(int)'
========== Build: 0 succeeded, 1 failed, 0 up-to-date, 0 skipped ==========
</code></pre>

<p>If I add type float in brackets in front of s, like this:</p>

<pre><code>#include &lt;iostream&gt;
#include &lt;cmath&gt;
#include &lt;math.h&gt;
using namespace std;

int main() {
    int s = 25;
    cout &lt;&lt; sqrt((float)s) &lt;&lt; endl;
    return 0;
}
</code></pre>

<p>I got as I would guess, <code>5</code>. And another variant is that instead of <code>sqrt</code>, if I write <code>sqrtf</code>:</p>

<pre><code>#include &lt;iostream&gt;
#include &lt;cmath&gt;
#include &lt;math.h&gt;
using namespace std;

int main(){
    int s=25;
    cout &lt;&lt; sqrtf((float)s) &lt;&lt; endl;
    return 0;
}
</code></pre>

<p>I also got <code>5</code>.</p>

<p>What is the difference between them? Does it means that sqrtf is same as sqrt for the float type?</p>
","c++ floating-point"
"791","Need recommendations for a hardy scanner that has a robust feeder tray","<p>In the early days of our company all our information came in on paper and all of what we sold was on paper. Because of this we literally rent our an old bank vault to house the millions of sheets of paper that, some say, still contain relevant information. That being said, I'm looking into purchasing some hardware capable of scanning all these documents and converting them to pdf. Being new at this level of digitization I would like to ask for recommendations for accomplishing this task. Most of this material exists as separate bound studies/articles/etc. Someone would have to remove the bindings and be able to load many pages at a time and have the scanner feed them all through and convert them to a single pdf (single pdf per study/article/etc). If you have any recommendations I would very much appreciate hearing about them, thanks. </p>
","hardware pdf scanner appliance scanning"
"792","It is setting all values to 0 for the ""Active"" field in the DB","<pre><code>$createDate = mktime(0,0,0,10,28,date(""Y""));
$selectedDate =  date('d-m-Y', ($createDate));
$active = 0;
$sql = ""UPDATE Session SET Active = ? WHERE SessionDate &lt;= ?"";                                         
$update = $mysqli-&gt;prepare($sql);
$update-&gt;bind_param(""is"", $active, $selectedDate);  
$update-&gt;execute();
</code></pre>

<p>I don' think I have set the above code correctly as that I am running a CRON job where I have stated that every 28th October (today), it will set the ""Active"" field to 0.</p>

<p>Problem is that it is setting the active field to ""0"" for all the rows in my database, even if its after the 28th October this year.</p>

<p>Below is what is suppose to happed:</p>

<ul>
<li><p>Now the current year is 2012 so when it becomes 28th October (which it is now), any exam which ""SessionDate"" is before this date should have an ""Active"" value of ""0"", the other Exams remain having an ""Active"" value of ""1"".</p></li>
<li><p>The CRON will then not do it's job till next year when it is October 28th again, this time the year will obviously be 2013. The same rules apply any exam which ""SessionDate"" is before this date should have an ""Active"" value of ""0"", the other Exams remain having an ""Active"" value of ""1"".</p></li>
<li><p>The CRON will then not do it's job till the following year when it is October 28th again, this time the year will obviously be 2014. The same rules apply any exam which ""SessionDate"" is before this date should have an ""Active"" value of ""0"", the other Exams remain having an ""Active"" value of ""1"".</p></li>
</ul>

<p>And so on....</p>

<p>So how come all of my database rows are their ""Active"" fields set to 0 when the CRON is doing it's bit?</p>
","php mysql sql"
"793","ArrayList objects in Java","<p>When im using an ArrayList</p>

<pre><code> ArrayList&lt;item&gt; List = new ArrayList&lt;item&gt;();

 Item a = new Item(1,""Book"");
 Item b = new Item(2,""Shoes"");

 List.add(a);
 List.add(b);

 Item c = new Item(1,""Book"");

 if(List.equals(c)) //Will this code return true?
</code></pre>

<p>if not, can anyone tell in what case List.equals(c) will return true. Because an item can have many attributes, id, name, price. Does it check for the reference name ? or compare the attributes.</p>
","java arraylist"
"794","Devexpress GridControl Format Conditions","<p>Is there anyone who has experience with the Devexpress GridControl.</p>

<p>I have a class which has a List of Objects in it. (This class is binded to the Grid).
This grid has a few columns to display the class.</p>

<p>I want a row to have another color when the list of objects.count is > 1</p>

<p>I've tried to like make an In-Place Editor Repository LookUpEdit item so I have the List of objects to set into a column.</p>

<p>DevExpress Family: Winforms</p>
","winforms gridview devexpress"
"795","comodo pdf sign doesn't verify in adobe, using JSignPdf","<p>I am using jSignPDF to sign PDF with a PKCS12 i purchased from COMODO INC.
But when viewing the signature in Adobe Acrobat i get, ""Signature Verification Failed"".
How can i sign a PDF and get the Signature Verified?</p>

<p>10x.</p>
","pdf adobe signature digital-signature"
"796","How to correctly get new issues list via redmine API?","<p>I'm creating a small tool that will fetch new issues from our redmine repository and do some utility task on them. I'm planning the tool to run in background and to poll redmine for new issues ~ every minute. I have no problems getting all issues via ""GET /issues.xml"" API, but i don't know how to correctly poll NEW issues since last call. The only way i can suggest is to use ""updated_on"" field and get issues that has update time > last poll time. Is it correct? And if this is correct, how i can get issues with update time > specified time? The <a href=""http://www.redmine.org/wiki/redmine/Rest_Issues"" rel=""nofollow"">API documentation page</a> has examples like ""GET /issues.xml?project_id=2"", but this is equality comparison and i need to compare if ""update_time"" is GREATER THAN specified time. Of course, ""GET /issues.xml?update_time>'01.10.10 12:08:41'"", and i suggest that it must be special syntax for comparison. Any hints on correct API request i can use?</p>
","redmine"
"797","SQL INSERT: skip values allready present","<p>I'm trying to add sequence of tags to a list subjects.
I wouldn't make unique <code>tag</code> column field because I may have the same duplicate depending by the user language like in the example</p>

<pre><code>table_houses
id          name                    location
1           Victoria's Home         New York
2           Black Mesa Lab          New Mexico
3           Tube                    London

table_tags
id          tag          id_subjects       language
1           garage       1                 it
2           garage       2                 fr
3           research     3                 en
4           lab          3                 en
5           laboratorio  3                 it
6           garage       1                 it &lt;== how to avoid this duplicated INSERT like first row?
</code></pre>

<p>I've saw some example where people uses <code>INSERT IGNORE INTO</code> statement but I've got It works only with unique columns and it is used to skip duplicate errors.</p>

<p>Does exist some way to skip duplicate tags for the same language only?</p>
","mysql insert duplicates skip"
"798","How to Use ClickableSpans in a TextView and still be able to scroll horizontally?","<p>I have some code which uses a textview with a linkmovementmethod so that individual words can be clicked. </p>

<p>However, what I really need is a scrollingmovementmethod. When I do that, the individual spanned segments are no longer clickable. </p>

<p>Unfortunately this means it uses a vertical scroll, even though horizontal scroll ( <code>android:scrollHorizontally=""true""</code>) is specified. </p>

<p>I'm trying to figure out how to retain the ability to catch onClick on the individual span words, and still allow it to be vertically scrollable. </p>

<p>Can someone provide advice on how to get the best of both worlds? </p>

<pre><code>    String page = getPage();
    textView.setMovementMethod(LinkMovementMethod.getInstance());
    textView.setText(page, BufferType.SPANNABLE);


    Spannable ssPage = (Spannable) textView.getText();
    Integer[] indices = getSpaceIndices(textView.getText().toString(), ' ');

    int start = 0;
    int end = 0;
      // to cater last/only word loop will run equal to the length of indices.length
    for (int i = 0; i &lt;= indices.length; i++) {
        ClickableSpan clickSpan = new ClickableSpan() {
            @Override
            public void onClick(View widget) {
                TextView tv = (TextView) widget;
                String s = tv
                        .getText()
                        .subSequence(tv.getSelectionStart(),
                                tv.getSelectionEnd()).toString();
                Log.d(""called"", s);
                Speak (s);

                //textView.scrollBy(tv.getWidth(), tv.getHeight());
            }

            public void updateDrawState(TextPaint ds) {
                 super.updateDrawState(ds);
                 ds.setUnderlineText(false);
            }
        };
       // to cater last/only word
        end = (i &lt; indices.length ? indices[i] : ssPage.length());
        ssPage.setSpan(clickSpan, start, end,
                Spannable.SPAN_EXCLUSIVE_EXCLUSIVE);
        start = end + 1;
    }
</code></pre>

<p>Layout:</p>

<pre><code>    &lt;TextView
    android:id=""@+id/textView""
    android:layout_width=""match_parent""
    android:layout_height=""match_parent""
    android:layout_centerHorizontal=""true""
    android:layout_centerVertical=""true""
    android:alpha=""245""
    android:ellipsize=""end""
    android:gravity=""top""
    android:paddingBottom=""15dip""
    android:scrollHorizontally=""true""

    android:scrollbars=""horizontal""
    android:text=""@string/hello_world""
    android:textColorLink=""@android:color/black""
    android:textSize=""20dip""
    tools:context="".ReadActivity"" /&gt;
</code></pre>
","java android textview"
"799","Send email from ASP.NET application through an external exchange server","<p>I have an ASP.NET application pointing the 2.0 version of the framework written in C# deployed in IIS6.</p>

<p>I am maintaining the application therefore some of its parts are not clear to me.</p>

<p>The application has to send email messages through an external exchange server to and from <strong>oldMailAddress</strong> and has been done correctly. Now I added a <strong>newMailAddress</strong> and I haven't changed anything else from the code.</p>

<p>The <strong>oldMailAddress</strong> receives the emails send through the application, the newMailAddress doesn't. I tried to send emails to <strong>newMailAddress</strong> from my mailbox and it works correctly.</p>

<p>I looked for solutions on the Internet and I saw that most of them are based on <strong>SMPT</strong> services installed in IIS6. Well, I do not have these services installed and I think it is not necessary since the application was working with oldMailAddress. Hereby I attach the code that I use, I hope anybody might help.</p>

<pre><code>MailMessage oMail = new MailMessage();

switch (destination)
            {
                case ""production"":
                    strMailAddress = ""newMailAdress@domain.eu"";
                    oMail.From = new MailAddress(strMailAddress);
                    oMail.To.Add(strMailAddress);
                    break;
                case ""warehouse"":
                    strMailAddress = ""oldMailAdress@domain.eu"";
                    oMail.From = new MailAddress(strMailAddress);
                    oMail.To.Add(strMailAddress);
                    break;
            }
oMail.Subject = sTitle;
oMail.IsBodyHtml = true;
oMail.Body = sHTML;

SmtpClient oSmpt = new SmtpClient(""external.smpt.eu"");
oSmpt.Send(oMail);
</code></pre>
","asp.net email exchange-server"
"800","Understanding the binary xls file-format","<p>I'm trying to read the contents of a xls-file without the use of any xls-libraries but having problems doing so.</p>

<p>I'm trying to use information I found <a href=""http://msdn.microsoft.com/en-us/library/gg615597.aspx"" rel=""nofollow"">here</a>. It has a little step-by-step instruction of how to read the file.
Also using this <a href=""http://download.microsoft.com/download/0/B/E/0BE8BDD7-E5E8-422A-ABFD-4342ED7AD886/Excel97-2007BinaryFileFormat%28xls%29Specification.pdf"" rel=""nofollow"">xls-file-specification</a>.</p>

<p>I'm not sure if I even do this step correctly:</p>

<blockquote>
  <p>3, Open the Workbook stream and scan for the first instance of a BOF record. This is the beginning of the Globals substream.</p>
</blockquote>

<p>According to the file-specification or this page with a <a href=""http://msdn.microsoft.com/en-us/library/dd908813%28v=office.12%29.aspx"" rel=""nofollow"">list of the record-numbers</a>, I should be looking for for 2057(0809h) but the whole file doesn't contain that record anywhere(also using a hexa-editor when trying to find it).
But then I read this part on page 20 in the specification:</p>

<blockquote>
  <p>Byte Swapping Excel BIFF files are transportable across the
  MS-DOS/Windows and Apple Macintosh operating systems, among others. To
  support transportability, Excel writes BIFF files where the low-order
  byte of the word appears first in the file, followed by the highorder
  byte.</p>
</blockquote>

<p>If I understand that correctly (not sure that I do) big endian of the words are used, so that what I'm looking for is actually 2312(0908h). This makes the impression of being correct as it is found very early in every file i try.</p>

<p>So then over to the next step:</p>

<blockquote>
  <p>4, Read the Globals substream, loading the BoundSheet8 records and the SST into memory. For more details, see Globals.</p>
</blockquote>

<p>I look for 133(8500h) and it's found shortly after BOF, good. But the problem lies in the two next steps:</p>

<blockquote>
  <p>5, From the BoundSheet8 record that corresponds to the substream you want to open, read the first 4 bytes, which contains the lbPlyPos FilePointer.
  6, Go to the offset in the stream specified by the lbPlyPos FilePointer. This is the BOF record for the worksheet.</p>
</blockquote>

<p>So the following 4 bytes is a pointer that points to a position in the file I should go to. But reading those bytes in any order gives me a number that is larger than the whole file. And also, this part confuses me: ""This is the BOF record for the worksheet."" Wasn't that what I found in an earlier step? Hmm...</p>

<p>Sorry for my rambling. And I hope I make sense and that someone would be willing to help me a little.</p>

<p><strong>Update:</strong>
Okay, I've gotten a little further with this. It's quite confusing to me but it seems that each record is also read as ""big endian"", ie the last variable in the record is the one that is positioned earliest in the file. Though I don't know if it applies to values with variable length? So, looking at <a href=""http://msdn.microsoft.com/en-us/library/dd773237%28v=office.12%29.aspx"" rel=""nofollow"">this</a>, the values of variable length are listed as the last one in a record. But obviously they can't come as the first in the file because there would be no way to know how many bytes to read in if that info comes after it?
Anyway, if I ignore this value, and and skip 2 bytes for dt and A/unused and read the following 4 bytes as a uint it turns out as 1130 in my case. Adding that to the pos of the first BOF gives me the exact position of the sheet-BOF. And that cant be a coincidence, right?</p>

<p>Now the next problem arises. After that BOF-record the index-record is supposed to follow immediately. But no matter in what way I read in the bytes it still makes no sense...
Here's what it looks like:</p>

<blockquote>
  <p>09 08 10 00 00 06 10 00 BB 0D CC 07 00 00 00 00 06 00 00 00 00 02 0E
  00 00 00 00 00 1E 00 00 00 00 00 12 00 00 00 3E 02 12 00 B6 06 00 00
  00 00 40 00 00 00 00 00 00 00 00 00 00 00 7D 00 0C 00 00 00 00 00 DD
  06 0F 00 00 00 00 00 7D 00 0C 00 02 00 02 00 DD 06 0F 00 00 00 00 00
  7D 00 0C 00 04 00 04 etc...</p>
</blockquote>

<p>The first 2 bytes there being the BOF record 09 08, or 0809 swapped which is 2057 (which represents BOF) so the rest should be the <a href=""http://msdn.microsoft.com/en-us/library/dd907627.aspx"" rel=""nofollow"">INDEX</a> but doesn't make sense... I would greatly appreciate if someone could help me with this.</p>
","excel binaryfiles"
